epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,62.6644,0.80366,0.89648,1.08479,0.91547,0.3726,0.45451,0.31999,1.65369,2.3405,1.48035,2.82082e-05,2.82082e-05,2.82082e-05
40,64.2022,0.64101,0.76636,1.06011,0.91547,0.3726,0.45451,0.31999,1.65369,2.3405,1.48035,2.84911e-05,2.84911e-05,2.84911e-05
41,65.7453,0.65862,0.89089,1.01051,0.91862,0.3725,0.4532,0.33657,1.66405,2.35998,1.4841,2.87504e-05,2.87504e-05,2.87504e-05
42,67.1756,0.53054,1.5855,1.0341,0.91862,0.3725,0.4532,0.33657,1.66405,2.35998,1.4841,2.89861e-05,2.89861e-05,2.89861e-05
43,68.6438,1.06443,1.3713,1.33101,0.93985,0.38785,0.45894,0.33995,1.67855,2.38512,1.49269,2.91983e-05,2.91983e-05,2.91983e-05
44,70.0882,0.91142,0.92266,1.32735,0.93985,0.38785,0.45894,0.33995,1.67855,2.38512,1.49269,2.93869e-05,2.93869e-05,2.93869e-05
45,71.6042,0.61399,0.74983,1.00827,0.94069,0.38806,0.45105,0.33265,1.68978,2.39161,1.49174,2.9552e-05,2.9552e-05,2.9552e-05
46,73.0627,0.71968,0.98504,1.14886,0.94069,0.38806,0.45105,0.33265,1.68978,2.39161,1.49174,2.96935e-05,2.96935e-05,2.96935e-05
47,74.7463,0.80297,1.70841,1.24185,0.94091,0.39061,0.44935,0.32807,1.68982,2.33883,1.48235,2.98114e-05,2.98114e-05,2.98114e-05
48,76.3675,0.89298,1.4458,1.24397,0.94091,0.39061,0.44935,0.32807,1.68982,2.33883,1.48235,2.99058e-05,2.99058e-05,2.99058e-05
49,78.1147,0.74324,0.87692,1.24864,0.94035,0.39185,0.45173,0.32922,1.68371,2.31784,1.47367,2.99766e-05,2.99766e-05,2.99766e-05
50,79.5979,0.69865,1.07493,1.23381,0.94035,0.39185,0.45173,0.32922,1.68371,2.31784,1.47367,3.00238e-05,3.00238e-05,3.00238e-05
51,81.0663,0.78278,0.8573,1.1406,0.94121,0.39108,0.45067,0.33,1.66911,2.31482,1.46027,3.00475e-05,3.00475e-05,3.00475e-05
52,82.4992,0.81247,0.92825,1.21354,0.94121,0.39108,0.45067,0.33,1.66911,2.31482,1.46027,3.00476e-05,3.00476e-05,3.00476e-05
53,84.1064,0.64005,0.72495,1.19675,0.94121,0.39108,0.45067,0.33,1.66911,2.31482,1.46027,3.00242e-05,3.00242e-05,3.00242e-05
54,85.8612,0.7756,0.85182,1.23872,0.94334,0.39275,0.45324,0.33131,1.66732,2.3017,1.45383,2.99772e-05,2.99772e-05,2.99772e-05
55,87.4203,0.7239,0.89831,1.05758,0.94334,0.39275,0.45324,0.33131,1.66732,2.3017,1.45383,2.99066e-05,2.99066e-05,2.99066e-05
56,88.9822,1.21214,1.65642,1.58378,0.94334,0.39275,0.45324,0.33131,1.66732,2.3017,1.45383,2.98125e-05,2.98125e-05,2.98125e-05
57,90.4721,1.01395,1.47074,1.35981,0.94656,0.39364,0.42576,0.29726,1.67873,2.30871,1.45322,2.96948e-05,2.96948e-05,2.96948e-05
58,91.9366,0.81266,1.38592,1.26103,0.94656,0.39364,0.42576,0.29726,1.67873,2.30871,1.45322,2.95535e-05,2.95535e-05,2.95535e-05
59,93.4176,0.75026,0.72384,1.1652,0.94656,0.39364,0.42576,0.29726,1.67873,2.30871,1.45322,2.93887e-05,2.93887e-05,2.93887e-05
60,94.9445,0.8436,0.86093,1.38562,0.94506,0.39326,0.4232,0.31039,1.70097,2.32734,1.45814,2.92003e-05,2.92003e-05,2.92003e-05
61,96.4051,0.62702,0.71562,1.08177,0.94506,0.39326,0.4232,0.31039,1.70097,2.32734,1.45814,2.89884e-05,2.89884e-05,2.89884e-05
62,97.9074,0.70746,0.89568,1.06006,0.94506,0.39326,0.4232,0.31039,1.70097,2.32734,1.45814,2.87529e-05,2.87529e-05,2.87529e-05
63,99.5998,0.72132,0.83071,1.12096,0.94555,0.39394,0.42287,0.3098,1.7148,2.35003,1.48424,2.84938e-05,2.84938e-05,2.84938e-05
64,101.126,0.67071,0.72604,1.09366,0.94555,0.39394,0.42287,0.3098,1.7148,2.35003,1.48424,2.82112e-05,2.82112e-05,2.82112e-05
65,102.757,0.58612,0.86458,1.16879,0.94555,0.39394,0.42287,0.3098,1.7148,2.35003,1.48424,2.7905e-05,2.7905e-05,2.7905e-05
66,104.259,0.63231,0.89227,1.07467,0.94533,0.3942,0.42284,0.30671,1.7093,2.35007,1.47188,2.75753e-05,2.75753e-05,2.75753e-05
